context,prompt_bn,response_bn,label
[NULL],বাংলা বর্ণমালায় ব্যঞ্জনবর্ণ কয়টি?,৩৫টি,0
[NULL],৭৯ ও ৪০ এর গুণফল কত?,৩১৬০,1
[NULL],"""শাঁখের করাত"" বাগধারাটির অর্থ কী?",উভয় সংকট,1
"দিলীপ ইসলাম (১৮৭০ সালে বরিশাল অঞ্চলে জন্মগ্রহণ করেন) একজন প্রখ্যাত বিজ্ঞানী ছিলেন। তাঁর অন্যতম সৃষ্টি ""কুয়াশার রেখা""। ১৯৩০ সালে তাঁকে স্বাধীনতা পুরস্কারে ভূষিত করা হয়। ১৯৪০ সালে তিনি মৃত্যুবরণ করেন।",দিলীপ ইসলাম পেশায় কী ছিলেন?,কুয়াশার রেখা,0
"কামরুল বসু (১৯৫০ সালে বগুড়া অঞ্চলে জন্মগ্রহণ করেন) একজন প্রখ্যাত চিত্রশিল্পী ছিলেন। তাঁর অন্যতম সৃষ্টি ""নিঃশব্দ যাত্রা""। ১৯৯৮ সালে তাঁকে স্বাধীনতা পুরস্কারে ভূষিত করা হয়। ২০০৩ সালে তিনি মৃত্যুবরণ করেন।",কামরুল বসু কোথায় জন্মগ্রহণ করেন?,বর্ধমান,0
করতোয়া নদী বাংলাদেশের একটি গুরুত্বপূর্ণ নদী। এর দৈর্ঘ্য প্রায় ৪৬২ কিলোমিটার। নদীটি সিলেট অঞ্চল থেকে উৎপন্ন হয়ে পুরুলিয়া অঞ্চলে প্রবাহিত হয়েছে।,করতোয়া নদী-এর দৈর্ঘ্য কত?,২৭২ কিলোমিটার,0
ল্যাবেঙ্গল সফটওয়্যার ১৯৯৯ সালে বাজারে আসে। এটি প্রথম তৈরি করেন জাহানারা বসু। সফটওয়্যারটি জাভা প্রোগ্রামিং ভাষায় লেখা হয়েছিল।,ল্যাবেঙ্গল সফটওয়্যার কে তৈরি করেন?,জাহানারা বসু,1
"আব্দুল তালুকদার (১৮৬২ সালে মেদিনীপুর অঞ্চলে জন্মগ্রহণ করেন) একজন প্রখ্যাত বিজ্ঞানী ছিলেন। তাঁর অন্যতম সৃষ্টি ""মৃত্তিকার ঋণ""। ১৯২৫ সালে তাঁকে জাতীয় চলচ্চিত্র পুরস্কারে ভূষিত করা হয়। ১৯৩০ সালে তিনি মৃত্যুবরণ করেন।",আব্দুল তালুকদার কত সালে জাতীয় চলচ্চিত্র পুরস্কার লাভ করেন?,১৯২৫,1
অভ্র সফটওয়্যার ২০১৪ সালে বাজারে আসে। এটি প্রথম তৈরি করেন আব্দুল সরকার। সফটওয়্যারটি সি শার্প প্রোগ্রামিং ভাষায় লেখা হয়েছিল।,অভ্র সফটওয়্যার কে তৈরি করেন?,আব্দুল সরকার,1
[NULL],৬৮ ও ৪৪ এর গুণফল কত?,২৯৯২,1
[NULL],একটি দোকানে ১৮৮টি টিকিট ছিল। ৭৩টি বিক্রি হয়ে গেলে কতটি টিকিট অবশিষ্ট থাকে?,১১১,0
[NULL],দুই অঙ্কবিশিষ্ট একটি সংখ্যার এককের অঙ্ক দশকের অঙ্ক অপেক্ষা ২ বেশি। সংখ্যাটি এর অঙ্কদ্বয়ের সমষ্টির ২ গুণ অপেক্ষা ৪০ বেশি। সংখ্যাটি কত?,৫৯,0
বগুড়া জেলা বাংলাদেশের মধ্যাঞ্চলে অবস্থিত। এর মোট আয়তন ৬৪২২ বর্গকিলোমিটার এবং জনসংখ্যা প্রায় ৩৩০০০০০। জেলাটি ১৯১০ সালে প্রশাসনিকভাবে প্রতিষ্ঠিত হয়। এই জেলার সর্বোচ্চ পাহাড়ের উচ্চতা ১৪৬ মিটার।,বগুড়া জেলা কোন অঞ্চলে অবস্থিত?,দক্ষিণবঙ্গ,0
"মেহেদী হাসান (১৯১৬ সালে নদীয়া অঞ্চলে জন্মগ্রহণ করেন) একজন প্রখ্যাত শিক্ষাবিদ ছিলেন। তাঁর অন্যতম সৃষ্টি ""নদীর ওপারে""। ১৯৪৯ সালে তাঁকে একুশে পদকে ভূষিত করা হয়। ১৯৬৮ সালে তিনি মৃত্যুবরণ করেন।",মেহেদী হাসান কত সালে মৃত্যুবরণ করেন?,১৯৬৮,1
বিজয় সফটওয়্যার ২০০৮ সালে বাজারে আসে। এটি প্রথম তৈরি করেন সুফিয়া মুখোপাধ্যায়। সফটওয়্যারটি সি++ প্রোগ্রামিং ভাষায় লেখা হয়েছিল।,বিজয় সফটওয়্যার কে তৈরি করেন?,সি++,0
করতোয়া নদী বাংলাদেশের একটি গুরুত্বপূর্ণ নদী। এর দৈর্ঘ্য প্রায় ৩৬৮ কিলোমিটার। নদীটি নোয়াখালী অঞ্চল থেকে উৎপন্ন হয়ে চট্টগ্রাম অঞ্চলে প্রবাহিত হয়েছে।,করতোয়া নদী-এর দৈর্ঘ্য কত?,১৪৯ কিলোমিটার,0
[NULL],"১৩, ১২৯ ও ২৪৮ সংখ্যা তিনটির গড় কত?",১২৭,0
মুর্শিদাবাদ জেলা বাংলাদেশের পূর্বাঞ্চলে অবস্থিত। এর মোট আয়তন ৩৫৩৩ বর্গকিলোমিটার এবং জনসংখ্যা প্রায় ১৭০০০০০। জেলাটি ১৯০২ সালে প্রশাসনিকভাবে প্রতিষ্ঠিত হয়। এই জেলার সর্বোচ্চ পাহাড়ের উচ্চতা ৩৫৩ মিটার।,মুর্শিদাবাদ জেলা-এর আয়তন কত?,৩৫৩৩ বর্গকিলোমিটার,1
[NULL],একটি দোকানে ৭৩৭টি মার্বেল ছিল। ৯৫টি বিক্রি হয়ে গেলে কতটি মার্বেল অবশিষ্ট থাকে?,৬৪৫,0
[NULL],৩৩ ও ৪১ এর গুণফল কত?,১৪৫৪,0
ময়মনসিংহ জেলা বাংলাদেশের মধ্যাঞ্চলে অবস্থিত। এর মোট আয়তন ২৭৩১ বর্গকিলোমিটার এবং জনসংখ্যা প্রায় ৪০০০০০০। জেলাটি ১৮২৭ সালে প্রশাসনিকভাবে প্রতিষ্ঠিত হয়। এই জেলার সর্বোচ্চ পাহাড়ের উচ্চতা ৬০৬ মিটার।,ময়মনসিংহ জেলা কোন অঞ্চলে অবস্থিত?,উত্তরবঙ্গ,0
বর্ধমান জেলা বাংলাদেশের পশ্চিমাঞ্চলে অবস্থিত। এর মোট আয়তন ৩৮০৬ বর্গকিলোমিটার এবং জনসংখ্যা প্রায় ৫৮০০০০০। জেলাটি ১৯০১ সালে প্রশাসনিকভাবে প্রতিষ্ঠিত হয়। এই জেলার সর্বোচ্চ পাহাড়ের উচ্চতা ৮২৪ মিটার।,বর্ধমান জেলা-এর সর্বোচ্চ পাহাড়ের উচ্চতা কত?,৮২৪ মিটার,1
শব্দকল্প সফটওয়্যার ২০০৬ সালে বাজারে আসে। এটি প্রথম তৈরি করেন অতুল ইসলাম। সফটওয়্যারটি ডেলফি প্রোগ্রামিং ভাষায় লেখা হয়েছিল।,শব্দকল্প সফটওয়্যার কে তৈরি করেন?,অতুল ইসলাম,1
বরিশাল জেলা বাংলাদেশের দক্ষিণবঙ্গে অবস্থিত। এর মোট আয়তন ৭৮৫০ বর্গকিলোমিটার এবং জনসংখ্যা প্রায় ৩৫০০০০০। জেলাটি ১৯৬৪ সালে প্রশাসনিকভাবে প্রতিষ্ঠিত হয়। এই জেলার সর্বোচ্চ পাহাড়ের উচ্চতা ৬৭৫ মিটার।,বরিশাল জেলা কোন অঞ্চলে অবস্থিত?,উত্তরবঙ্গ,0
বাঁকুড়া জেলা বাংলাদেশের মধ্যাঞ্চলে অবস্থিত। এর মোট আয়তন ২১১৪ বর্গকিলোমিটার এবং জনসংখ্যা প্রায় ২৪০০০০০। জেলাটি ১৭৯৫ সালে প্রশাসনিকভাবে প্রতিষ্ঠিত হয়। এই জেলার সর্বোচ্চ পাহাড়ের উচ্চতা ৩০২ মিটার।,বাঁকুড়া জেলা কত সালে প্রতিষ্ঠিত হয়?,১৮০৬,0
[NULL],"৬২, ১২২ ও ১০৭ সংখ্যা তিনটির গড় কত?",৯৭,1
বর্ণ সফটওয়্যার ২০১৭ সালে বাজারে আসে। এটি প্রথম তৈরি করেন অতুল হক। সফটওয়্যারটি পাইথন প্রোগ্রামিং ভাষায় লেখা হয়েছিল।,বর্ণ সফটওয়্যার কোন প্রোগ্রামিং ভাষায় লেখা হয়েছিল?,পাইথন,1
অভ্র সফটওয়্যার ২০১৩ সালে বাজারে আসে। এটি প্রথম তৈরি করেন নুরুল চট্টোপাধ্যায়। সফটওয়্যারটি সি শার্প প্রোগ্রামিং ভাষায় লেখা হয়েছিল।,অভ্র সফটওয়্যার কত সালে বাজারে আসে?,২০২২,0
[NULL],"২৪৭, ১৭৭ ও ১৪৯ সংখ্যা তিনটির গড় কত?",১৯৭,0
হুগলি জেলা বাংলাদেশের পশ্চিমাঞ্চলে অবস্থিত। এর মোট আয়তন ১৩০৯ বর্গকিলোমিটার এবং জনসংখ্যা প্রায় ২০০০০০০। জেলাটি ১৯৪৩ সালে প্রশাসনিকভাবে প্রতিষ্ঠিত হয়। এই জেলার সর্বোচ্চ পাহাড়ের উচ্চতা ৬৭০ মিটার।,হুগলি জেলা-এর সর্বোচ্চ পাহাড়ের উচ্চতা কত?,৬৭০ মিটার,1
"নুরুল দাশগুপ্ত (১৮৬৫ সালে মেদিনীপুর অঞ্চলে জন্মগ্রহণ করেন) একজন প্রখ্যাত ঔপন্যাসিক ছিলেন। তাঁর অন্যতম সৃষ্টি ""মেঘবালিকা""। ১৯২৮ সালে তাঁকে একুশে পদকে ভূষিত করা হয়। ১৯৩১ সালে তিনি মৃত্যুবরণ করেন।",নুরুল দাশগুপ্ত-এর অন্যতম সৃষ্টি কোনটি?,মেঘবালিকা,1
কর্ণফুলী নদী বাংলাদেশের একটি গুরুত্বপূর্ণ নদী। এর দৈর্ঘ্য প্রায় ৩৫৪ কিলোমিটার। নদীটি বরিশাল অঞ্চল থেকে উৎপন্ন হয়ে টাঙ্গাইল অঞ্চলে প্রবাহিত হয়েছে।,কর্ণফুলী নদী-এর দৈর্ঘ্য কত?,৩৫৪ কিলোমিটার,1
বরিশাল জেলা বাংলাদেশের মধ্যাঞ্চলে অবস্থিত। এর মোট আয়তন ৭১১১ বর্গকিলোমিটার এবং জনসংখ্যা প্রায় ৪৬০০০০০। জেলাটি ১৮৫৩ সালে প্রশাসনিকভাবে প্রতিষ্ঠিত হয়। এই জেলার সর্বোচ্চ পাহাড়ের উচ্চতা ৮৯৮ মিটার।,বরিশাল জেলা-এর আয়তন কত?,৫৭৭৪ বর্গকিলোমিটার,0
[NULL],৮৯৪ ও ৬৪ এর যোগফল কত?,৯২৯,0
ধলেশ্বরী নদী বাংলাদেশের একটি গুরুত্বপূর্ণ নদী। এর দৈর্ঘ্য প্রায় ৬৩৬ কিলোমিটার। নদীটি টাঙ্গাইল অঞ্চল থেকে উৎপন্ন হয়ে মেদিনীপুর অঞ্চলে প্রবাহিত হয়েছে।,ধলেশ্বরী নদী কোন অঞ্চল থেকে উৎপন্ন হয়েছে?,টাঙ্গাইল,1
গড়াই নদী বাংলাদেশের একটি গুরুত্বপূর্ণ নদী। এর দৈর্ঘ্য প্রায় ৬৮৭ কিলোমিটার। নদীটি মেদিনীপুর অঞ্চল থেকে উৎপন্ন হয়ে পাবনা অঞ্চলে প্রবাহিত হয়েছে।,গড়াই নদী কোন অঞ্চল থেকে উৎপন্ন হয়েছে?,মেদিনীপুর,1
ল্যাবেঙ্গল সফটওয়্যার ১৯৯৯ সালে বাজারে আসে। এটি প্রথম তৈরি করেন বেগম মুখোপাধ্যায়। সফটওয়্যারটি সি শার্প প্রোগ্রামিং ভাষায় লেখা হয়েছিল।,ল্যাবেঙ্গল সফটওয়্যার কত সালে বাজারে আসে?,১৯৮৬,0
সিলেট জেলা বাংলাদেশের পূর্বাঞ্চলে অবস্থিত। এর মোট আয়তন ৬৫১৫ বর্গকিলোমিটার এবং জনসংখ্যা প্রায় ৩২০০০০০। জেলাটি ১৮৫৭ সালে প্রশাসনিকভাবে প্রতিষ্ঠিত হয়। এই জেলার সর্বোচ্চ পাহাড়ের উচ্চতা ৭২৫ মিটার।,সিলেট জেলা কত সালে প্রতিষ্ঠিত হয়?,১৮৫৭,1
[NULL],বাংলাদেশ কোন সালে জাতিসংঘের সদস্যপদ লাভ করে?,১৯৭১,0
"মাহবুব রায় (১৯৮৪ সালে টাঙ্গাইল অঞ্চলে জন্মগ্রহণ করেন) একজন প্রখ্যাত ভাষাবিদ ছিলেন। তাঁর অন্যতম সৃষ্টি ""পাথরের ফুল""। ২০১৪ সালে তাঁকে বাংলা একাডেমি পুরস্কারে ভূষিত করা হয়। ২০২৩ সালে তিনি মৃত্যুবরণ করেন।",মাহবুব রায়-এর অন্যতম সৃষ্টি কোনটি?,পাথরের ফুল,1
[NULL],৩১৫২ ও ৪২৭ এর যোগফল কত?,৩৫৭৯,1
অভ্র সফটওয়্যার ২০০৫ সালে বাজারে আসে। এটি প্রথম তৈরি করেন আনিসুল ঘোষ। সফটওয়্যারটি সি শার্প প্রোগ্রামিং ভাষায় লেখা হয়েছিল।,অভ্র সফটওয়্যার কে তৈরি করেন?,আনিসুল ঘোষ,1
চট্টগ্রাম জেলা বাংলাদেশের পশ্চিমাঞ্চলে অবস্থিত। এর মোট আয়তন ৬১৬১ বর্গকিলোমিটার এবং জনসংখ্যা প্রায় ৪৩০০০০০। জেলাটি ১৯২৭ সালে প্রশাসনিকভাবে প্রতিষ্ঠিত হয়। এই জেলার সর্বোচ্চ পাহাড়ের উচ্চতা ২০৩ মিটার।,চট্টগ্রাম জেলা-এর সর্বোচ্চ পাহাড়ের উচ্চতা কত?,"২০৩ মিটার, যা ৩টি আন্তর্জাতিক পুরস্কার অর্জন করে",0
[NULL],"১৮৩, ২৫০ ও ২৫৭ সংখ্যা তিনটির গড় কত?",২২২,0
"অমিয় চট্টোপাধ্যায় (১৯৩৫ সালে মুর্শিদাবাদ অঞ্চলে জন্মগ্রহণ করেন) একজন প্রখ্যাত সংগীতশিল্পী ছিলেন। তাঁর অন্যতম সৃষ্টি ""জলছবি""। ২০০৫ সালে তাঁকে একুশে পদকে ভূষিত করা হয়। ২০১৫ সালে তিনি মৃত্যুবরণ করেন।",অমিয় চট্টোপাধ্যায় কোথায় জন্মগ্রহণ করেন?,জলছবি,0
[NULL],একটি দোকানে ২৩৩টি টিকিট ছিল। ১৩৮টি বিক্রি হয়ে গেলে কতটি টিকিট অবশিষ্ট থাকে?,৮৭,0
পাবনা জেলা বাংলাদেশের পূর্বাঞ্চলে অবস্থিত। এর মোট আয়তন ৪৭১৫ বর্গকিলোমিটার এবং জনসংখ্যা প্রায় ২৯০০০০০। জেলাটি ১৯৫৭ সালে প্রশাসনিকভাবে প্রতিষ্ঠিত হয়। এই জেলার সর্বোচ্চ পাহাড়ের উচ্চতা ৮৫৪ মিটার।,পাবনা জেলা-এর সর্বোচ্চ পাহাড়ের উচ্চতা কত?,৬৯০ মিটার,0
টাঙ্গাইল জেলা বাংলাদেশের উত্তরবঙ্গে অবস্থিত। এর মোট আয়তন ৫২৪৮ বর্গকিলোমিটার এবং জনসংখ্যা প্রায় ৫৩০০০০০। জেলাটি ১৯০৬ সালে প্রশাসনিকভাবে প্রতিষ্ঠিত হয়। এই জেলার সর্বোচ্চ পাহাড়ের উচ্চতা ১৮৪ মিটার।,টাঙ্গাইল জেলা কোন অঞ্চলে অবস্থিত?,উত্তরবঙ্গ,1
মেঘনা নদী বাংলাদেশের একটি গুরুত্বপূর্ণ নদী। এর দৈর্ঘ্য প্রায় ৫৭০ কিলোমিটার। নদীটি মুর্শিদাবাদ অঞ্চল থেকে উৎপন্ন হয়ে ঢাকা অঞ্চলে প্রবাহিত হয়েছে।,মেঘনা নদী-এর দৈর্ঘ্য কত?,৫৭০ কিলোমিটার,1
[NULL],বাংলাদেশের বিজয় দিবস কোন তারিখে পালিত হয়?,২৬ মার্চ,0
মেদিনীপুর জেলা বাংলাদেশের দক্ষিণবঙ্গে অবস্থিত। এর মোট আয়তন ১২২৫ বর্গকিলোমিটার এবং জনসংখ্যা প্রায় ২৭০০০০০। জেলাটি ১৭৯৭ সালে প্রশাসনিকভাবে প্রতিষ্ঠিত হয়। এই জেলার সর্বোচ্চ পাহাড়ের উচ্চতা ৮০৭ মিটার।,মেদিনীপুর জেলা কোন অঞ্চলে অবস্থিত?,উত্তরবঙ্গ,0
[NULL],একটি দোকানে ২৪০টি চেয়ার ছিল। ৯৮টি বিক্রি হয়ে গেলে কতটি চেয়ার অবশিষ্ট থাকে?,১৪২,1
শীতলক্ষ্যা নদী বাংলাদেশের একটি গুরুত্বপূর্ণ নদী। এর দৈর্ঘ্য প্রায় ৩৯২ কিলোমিটার। নদীটি রংপুর অঞ্চল থেকে উৎপন্ন হয়ে বগুড়া অঞ্চলে প্রবাহিত হয়েছে।,শীতলক্ষ্যা নদী-এর দৈর্ঘ্য কত?,৬০৮ কিলোমিটার,0
ময়মনসিংহ জেলা বাংলাদেশের পূর্বাঞ্চলে অবস্থিত। এর মোট আয়তন ৩৩৬৪ বর্গকিলোমিটার এবং জনসংখ্যা প্রায় ৬০০০০০০। জেলাটি ১৯১১ সালে প্রশাসনিকভাবে প্রতিষ্ঠিত হয়। এই জেলার সর্বোচ্চ পাহাড়ের উচ্চতা ২৪০ মিটার।,ময়মনসিংহ জেলা-এর সর্বোচ্চ পাহাড়ের উচ্চতা কত?,৪৬১ মিটার,0
"আব্দুল ইসলাম (১৯৪৭ সালে মুর্শিদাবাদ অঞ্চলে জন্মগ্রহণ করেন) একজন প্রখ্যাত কবি ছিলেন। তাঁর অন্যতম সৃষ্টি ""বালুচরের গান""। ২০০১ সালে তাঁকে রবীন্দ্র পুরস্কারে ভূষিত করা হয়। ২০১৪ সালে তিনি মৃত্যুবরণ করেন।",আব্দুল ইসলাম-এর অন্যতম সৃষ্টি কোনটি?,বালুচরের গান,1
শব্দকল্প সফটওয়্যার ২০০১ সালে বাজারে আসে। এটি প্রথম তৈরি করেন দিলীপ আহমেদ। সফটওয়্যারটি পাইথন প্রোগ্রামিং ভাষায় লেখা হয়েছিল।,শব্দকল্প সফটওয়্যার কে তৈরি করেন?,নীহার রহমান,0
"তারেক আহমেদ (১৯৫৬ সালে পুরুলিয়া অঞ্চলে জন্মগ্রহণ করেন) একজন প্রখ্যাত সাংবাদিক ছিলেন। তাঁর অন্যতম সৃষ্টি ""কুয়াশার রেখা""। ২০০৩ সালে তাঁকে বাংলা একাডেমি পুরস্কারে ভূষিত করা হয়। ২০০৫ সালে তিনি মৃত্যুবরণ করেন।",তারেক আহমেদ কত সালে বাংলা একাডেমি পুরস্কার লাভ করেন?,২০০৩,1
শীতলক্ষ্যা নদী বাংলাদেশের একটি গুরুত্বপূর্ণ নদী। এর দৈর্ঘ্য প্রায় ৩৬৯ কিলোমিটার। নদীটি বগুড়া অঞ্চল থেকে উৎপন্ন হয়ে যশোর অঞ্চলে প্রবাহিত হয়েছে।,শীতলক্ষ্যা নদী কোন অঞ্চল থেকে উৎপন্ন হয়েছে?,বগুড়া,1
নিকশ সফটওয়্যার ২০০৭ সালে বাজারে আসে। এটি প্রথম তৈরি করেন আনিসুল ইসলাম। সফটওয়্যারটি জাভা প্রোগ্রামিং ভাষায় লেখা হয়েছিল।,নিকশ সফটওয়্যার কে তৈরি করেন?,আনিসুল ইসলাম,1
"নীহার মুখোপাধ্যায় (১৮৭৬ সালে মেদিনীপুর অঞ্চলে জন্মগ্রহণ করেন) একজন প্রখ্যাত সাংবাদিক ছিলেন। তাঁর অন্যতম সৃষ্টি ""দিগন্তের ডাক""। ১৯১৯ সালে তাঁকে বাংলা একাডেমি পুরস্কারে ভূষিত করা হয়। ১৯৩৭ সালে তিনি মৃত্যুবরণ করেন।",নীহার মুখোপাধ্যায় কোথায় জন্মগ্রহণ করেন?,রাজশাহী,0
"জসীম হক (১৮৫৪ সালে ময়মনসিংহ অঞ্চলে জন্মগ্রহণ করেন) একজন প্রখ্যাত সংগীতশিল্পী ছিলেন। তাঁর অন্যতম সৃষ্টি ""মেঘবালিকা""। ১৯০৪ সালে তাঁকে রবীন্দ্র পুরস্কারে ভূষিত করা হয়। ১৯১৪ সালে তিনি মৃত্যুবরণ করেন।",জসীম হক কত সালে জন্মগ্রহণ করেন?,১৮৫৭,0
[NULL],১৯৮৫ ও ১৯৩০ এর যোগফল কত?,৩৯১৫,1
পাবনা জেলা বাংলাদেশের পূর্বাঞ্চলে অবস্থিত। এর মোট আয়তন ৩৩২৮ বর্গকিলোমিটার এবং জনসংখ্যা প্রায় ৪৬০০০০০। জেলাটি ১৯৩৭ সালে প্রশাসনিকভাবে প্রতিষ্ঠিত হয়। এই জেলার সর্বোচ্চ পাহাড়ের উচ্চতা ৩৬২ মিটার।,পাবনা জেলা-এর আয়তন কত?,১৯০২ বর্গকিলোমিটার,0
[NULL],৭৩ ও ২৮ এর গুণফল কত?,১৯৭৫,0
নিকশ সফটওয়্যার ২০০৭ সালে বাজারে আসে। এটি প্রথম তৈরি করেন মাহবুব বসু। সফটওয়্যারটি ভিজুয়াল বেসিক প্রোগ্রামিং ভাষায় লেখা হয়েছিল।,নিকশ সফটওয়্যার কত সালে বাজারে আসে?,২০০৭,1
[NULL],৩৫ ও ২৯ এর গুণফল কত?,১১১৪,0
[NULL],দুই অঙ্কবিশিষ্ট একটি সংখ্যার এককের অঙ্ক দশকের অঙ্ক অপেক্ষা ৩ বেশি। সংখ্যাটি এর অঙ্কদ্বয়ের সমষ্টির ২ গুণ অপেক্ষা ৩৯ বেশি। সংখ্যাটি কত?,৭৫,0
"জাহানারা চৌধুরী (১৯৭০ সালে যশোর অঞ্চলে জন্মগ্রহণ করেন) একজন প্রখ্যাত কবি ছিলেন। তাঁর অন্যতম সৃষ্টি ""দিগন্তের ডাক""। ২০১৮ সালে তাঁকে একুশে পদকে ভূষিত করা হয়। ২০২১ সালে তিনি মৃত্যুবরণ করেন।",জাহানারা চৌধুরী পেশায় কী ছিলেন?,চলচ্চিত্র পরিচালক,0
[NULL],দুই অঙ্কবিশিষ্ট একটি সংখ্যার এককের অঙ্ক দশকের অঙ্ক অপেক্ষা ২ বেশি। সংখ্যাটি এর অঙ্কদ্বয়ের সমষ্টির ২ গুণ অপেক্ষা ২৬ বেশি। সংখ্যাটি কত?,৫৪,0
চট্টগ্রাম জেলা বাংলাদেশের পূর্বাঞ্চলে অবস্থিত। এর মোট আয়তন ২০৯৫ বর্গকিলোমিটার এবং জনসংখ্যা প্রায় ৫১০০০০০। জেলাটি ১৮৭৭ সালে প্রশাসনিকভাবে প্রতিষ্ঠিত হয়। এই জেলার সর্বোচ্চ পাহাড়ের উচ্চতা ৪৭৮ মিটার।,চট্টগ্রাম জেলা কোন অঞ্চলে অবস্থিত?,পূর্বাঞ্চল,1
সাঙ্গু নদী বাংলাদেশের একটি গুরুত্বপূর্ণ নদী। এর দৈর্ঘ্য প্রায় ৩৯১ কিলোমিটার। নদীটি মেদিনীপুর অঞ্চল থেকে উৎপন্ন হয়ে পুরুলিয়া অঞ্চলে প্রবাহিত হয়েছে।,সাঙ্গু নদী কোন অঞ্চল থেকে উৎপন্ন হয়েছে?,মেদিনীপুর,1
[NULL],৯৬ ও ১২ এর গুণফল কত?,১১৫২,1
[NULL],৮২ ও ২৫ এর গুণফল কত?,২০৫০,1
[NULL],৩৩৬৭ ও ১২২৭ এর যোগফল কত?,৪৬১২,0
পদ্মা নদী বাংলাদেশের একটি গুরুত্বপূর্ণ নদী। এর দৈর্ঘ্য প্রায় ৬৬২ কিলোমিটার। নদীটি টাঙ্গাইল অঞ্চল থেকে উৎপন্ন হয়ে সিলেট অঞ্চলে প্রবাহিত হয়েছে।,পদ্মা নদী কোন অঞ্চল থেকে উৎপন্ন হয়েছে?,টাঙ্গাইল,1
সুরমা নদী বাংলাদেশের একটি গুরুত্বপূর্ণ নদী। এর দৈর্ঘ্য প্রায় ১৮৭ কিলোমিটার। নদীটি যশোর অঞ্চল থেকে উৎপন্ন হয়ে ময়মনসিংহ অঞ্চলে প্রবাহিত হয়েছে।,সুরমা নদী-এর দৈর্ঘ্য কত?,১৮৭ কিলোমিটার,1
"প্রমথ খান (১৯৩৯ সালে ময়মনসিংহ অঞ্চলে জন্মগ্রহণ করেন) একজন প্রখ্যাত রাজনীতিবিদ ছিলেন। তাঁর অন্যতম সৃষ্টি ""অগ্নিপথ""। ১৯৮৩ সালে তাঁকে একুশে পদকে ভূষিত করা হয়। ১৯৯২ সালে তিনি মৃত্যুবরণ করেন।",প্রমথ খান কোথায় জন্মগ্রহণ করেন?,ময়মনসিংহ,1
বিজয় সফটওয়্যার ১৯৯৯ সালে বাজারে আসে। এটি প্রথম তৈরি করেন শামসুর রহমান। সফটওয়্যারটি ডেলফি প্রোগ্রামিং ভাষায় লেখা হয়েছিল।,বিজয় সফটওয়্যার কত সালে বাজারে আসে?,১৯৯৯,1
[NULL],৮৮ ও ৪৭ এর গুণফল কত?,৪৪০১,0
নিকশ সফটওয়্যার ২০১৫ সালে বাজারে আসে। এটি প্রথম তৈরি করেন নীহার বন্দ্যোপাধ্যায়। সফটওয়্যারটি ডেলফি প্রোগ্রামিং ভাষায় লেখা হয়েছিল।,নিকশ সফটওয়্যার কে তৈরি করেন?,কামরুল রহমান,0
গড়াই নদী বাংলাদেশের একটি গুরুত্বপূর্ণ নদী। এর দৈর্ঘ্য প্রায় ৩১৮ কিলোমিটার। নদীটি কুমিল্লা অঞ্চল থেকে উৎপন্ন হয়ে টাঙ্গাইল অঞ্চলে প্রবাহিত হয়েছে।,গড়াই নদী-এর দৈর্ঘ্য কত?,৩১৮ কিলোমিটার,1
"আব্দুল রহমান (১৮৮৩ সালে রংপুর অঞ্চলে জন্মগ্রহণ করেন) একজন প্রখ্যাত চলচ্চিত্র পরিচালক ছিলেন। তাঁর অন্যতম সৃষ্টি ""মেঘবালিকা""। ১৯৩২ সালে তাঁকে জাতীয় চলচ্চিত্র পুরস্কারে ভূষিত করা হয়। ১৯৫০ সালে তিনি মৃত্যুবরণ করেন।",আব্দুল রহমান কোথায় জন্মগ্রহণ করেন?,রংপুর,1
হুগলি জেলা বাংলাদেশের পূর্বাঞ্চলে অবস্থিত। এর মোট আয়তন ৪০২০ বর্গকিলোমিটার এবং জনসংখ্যা প্রায় ১৪০০০০০। জেলাটি ১৮৩৮ সালে প্রশাসনিকভাবে প্রতিষ্ঠিত হয়। এই জেলার সর্বোচ্চ পাহাড়ের উচ্চতা ৮৮০ মিটার।,হুগলি জেলা-এর সর্বোচ্চ পাহাড়ের উচ্চতা কত?,৮৮০ মিটার,1
[NULL],১২০০ টাকার ১২% কত টাকা?,১২৬ টাকা,0
ল্যাবেঙ্গল সফটওয়্যার ২০১৬ সালে বাজারে আসে। এটি প্রথম তৈরি করেন অমিয় রহমান। সফটওয়্যারটি সি++ প্রোগ্রামিং ভাষায় লেখা হয়েছিল।,ল্যাবেঙ্গল সফটওয়্যার কত সালে বাজারে আসে?,২০২২,0
হুগলি জেলা বাংলাদেশের দক্ষিণবঙ্গে অবস্থিত। এর মোট আয়তন ৫৩২৪ বর্গকিলোমিটার এবং জনসংখ্যা প্রায় ৩৯০০০০০। জেলাটি ১৯৫৫ সালে প্রশাসনিকভাবে প্রতিষ্ঠিত হয়। এই জেলার সর্বোচ্চ পাহাড়ের উচ্চতা ১৬৪ মিটার।,হুগলি জেলা কোন অঞ্চলে অবস্থিত?,দক্ষিণবঙ্গ,1
